source,sample_id,timestamp,flight_phase,P_chamber,m_ox,m_fuel,total_mass_flow_kg_s,OF_ratio
synthetic_telemetry,SYN_000001,0.1,PRE_LAUNCH,0.16,2.4000000000000004,0.96,3.3600000000000003,2.5000000000000004
synthetic_telemetry,SYN_000002,0.2,PRE_LAUNCH,0.22,4.800000000000001,1.92,6.720000000000001,2.5000000000000004
synthetic_telemetry,SYN_000003,0.30000000000000004,PRE_LAUNCH,0.28,7.200000000000001,2.8800000000000003,10.080000000000002,2.5
synthetic_telemetry,SYN_000004,0.4,PRE_LAUNCH,0.33999999999999997,9.600000000000001,3.84,13.440000000000001,2.5000000000000004
synthetic_telemetry,SYN_000005,0.5,PRE_LAUNCH,0.4,12.0,4.8,16.8,2.5
synthetic_telemetry,SYN_000006,0.6000000000000001,PRE_LAUNCH,0.4600000000000001,14.400000000000002,5.760000000000001,20.160000000000004,2.5
synthetic_telemetry,SYN_000007,0.7000000000000001,PRE_LAUNCH,0.52,16.8,6.720000000000001,23.520000000000003,2.5
synthetic_telemetry,SYN_000008,0.8,PRE_LAUNCH,0.58,19.200000000000003,7.68,26.880000000000003,2.5000000000000004
synthetic_telemetry,SYN_000009,0.9,PRE_LAUNCH,0.64,21.6,8.64,30.240000000000002,2.5
synthetic_telemetry,SYN_000010,1.0,PRE_LAUNCH,0.7,24.0,9.6,33.6,2.5
synthetic_telemetry,SYN_000011,1.1,PRE_LAUNCH,0.76,26.400000000000002,10.56,36.96,2.5
synthetic_telemetry,SYN_000012,1.2000000000000002,PRE_LAUNCH,0.8200000000000001,28.800000000000004,11.520000000000001,40.32000000000001,2.5
synthetic_telemetry,SYN_000013,1.3,PRE_LAUNCH,0.88,31.200000000000003,12.48,43.68000000000001,2.5
synthetic_telemetry,SYN_000014,1.4000000000000001,PRE_LAUNCH,0.9400000000000001,33.6,13.440000000000001,47.040000000000006,2.5
synthetic_telemetry,SYN_000015,1.5,PRE_LAUNCH,0.9999999999999999,36.0,14.399999999999999,50.4,2.5000000000000004
synthetic_telemetry,SYN_000016,1.6,PRE_LAUNCH,1.06,38.400000000000006,15.36,53.760000000000005,2.5000000000000004
synthetic_telemetry,SYN_000017,1.7000000000000002,PRE_LAUNCH,1.12,40.800000000000004,16.32,57.120000000000005,2.5
synthetic_telemetry,SYN_000018,1.8,PRE_LAUNCH,1.1800000000000002,43.2,17.28,60.480000000000004,2.5
synthetic_telemetry,SYN_000019,1.9000000000000001,PRE_LAUNCH,1.2400000000000002,45.6,18.240000000000002,63.84,2.5
synthetic_telemetry,SYN_000020,2.0,PRE_LAUNCH,1.3,48.0,19.2,67.2,2.5
synthetic_telemetry,SYN_000021,2.1,PRE_LAUNCH,1.36,50.400000000000006,20.16,70.56,2.5000000000000004
synthetic_telemetry,SYN_000022,2.2,PRE_LAUNCH,1.4200000000000002,52.800000000000004,21.12,73.92,2.5
synthetic_telemetry,SYN_000023,2.3000000000000003,PRE_LAUNCH,1.4800000000000002,55.2,22.080000000000002,77.28,2.5
synthetic_telemetry,SYN_000024,2.4000000000000004,PRE_LAUNCH,1.5400000000000003,57.60000000000001,23.040000000000003,80.64000000000001,2.5
synthetic_telemetry,SYN_000025,2.5,PRE_LAUNCH,1.6,60.0,24.0,84.0,2.5
synthetic_telemetry,SYN_000026,2.6,PRE_LAUNCH,1.6600000000000001,62.400000000000006,24.96,87.36000000000001,2.5
synthetic_telemetry,SYN_000027,2.7,PRE_LAUNCH,1.7200000000000002,64.80000000000001,25.92,90.72000000000001,2.5000000000000004
synthetic_telemetry,SYN_000028,2.8000000000000003,PRE_LAUNCH,1.7800000000000002,67.2,26.880000000000003,94.08000000000001,2.5
synthetic_telemetry,SYN_000029,2.9000000000000004,PRE_LAUNCH,1.8400000000000003,69.60000000000001,27.840000000000003,97.44000000000001,2.5
synthetic_telemetry,SYN_000030,3.0,PRE_LAUNCH,1.9,72.0,28.799999999999997,100.8,2.5000000000000004
synthetic_telemetry,SYN_000031,3.1,PRE_LAUNCH,1.96,74.4,29.759999999999998,104.16,2.5000000000000004
synthetic_telemetry,SYN_000032,3.2,PRE_LAUNCH,2.02,76.80000000000001,30.72,107.52000000000001,2.5000000000000004
synthetic_telemetry,SYN_000033,3.3000000000000003,PRE_LAUNCH,2.08,79.2,31.68,110.88,2.5
synthetic_telemetry,SYN_000034,3.4000000000000004,PRE_LAUNCH,2.14,81.60000000000001,32.64,114.24000000000001,2.5
synthetic_telemetry,SYN_000035,3.5,PRE_LAUNCH,2.2,84.0,33.6,117.6,2.5
synthetic_telemetry,SYN_000036,3.6,PRE_LAUNCH,2.2600000000000002,86.4,34.56,120.96000000000001,2.5
synthetic_telemetry,SYN_000037,3.7,PRE_LAUNCH,2.3200000000000003,88.80000000000001,35.52,124.32000000000002,2.5
synthetic_telemetry,SYN_000038,3.8000000000000003,PRE_LAUNCH,2.3800000000000003,91.2,36.480000000000004,127.68,2.5
synthetic_telemetry,SYN_000039,3.9000000000000004,PRE_LAUNCH,2.4400000000000004,93.60000000000001,37.440000000000005,131.04000000000002,2.5
synthetic_telemetry,SYN_000040,4.0,PRE_LAUNCH,2.5,96.0,38.4,134.4,2.5
synthetic_telemetry,SYN_000041,4.1000000000000005,PRE_LAUNCH,2.5600000000000005,98.4,39.36000000000001,137.76000000000002,2.4999999999999996
synthetic_telemetry,SYN_000042,4.2,PRE_LAUNCH,2.62,100.80000000000001,40.32,141.12,2.5000000000000004
synthetic_telemetry,SYN_000043,4.3,PRE_LAUNCH,2.6799999999999997,103.19999999999999,41.279999999999994,144.48,2.5
synthetic_telemetry,SYN_000044,4.4,PRE_LAUNCH,2.74,105.60000000000001,42.24,147.84,2.5
synthetic_telemetry,SYN_000045,4.5,PRE_LAUNCH,2.8,108.0,43.199999999999996,151.2,2.5000000000000004
synthetic_telemetry,SYN_000046,4.6000000000000005,PRE_LAUNCH,2.8600000000000003,110.4,44.160000000000004,154.56,2.5
synthetic_telemetry,SYN_000047,4.7,PRE_LAUNCH,2.92,112.80000000000001,45.12,157.92000000000002,2.5000000000000004
synthetic_telemetry,SYN_000048,4.800000000000001,PRE_LAUNCH,2.9800000000000004,115.20000000000002,46.080000000000005,161.28000000000003,2.5
synthetic_telemetry,SYN_000049,4.9,PRE_LAUNCH,3.04,117.60000000000001,47.04,164.64000000000001,2.5000000000000004
